MTBLS ID	Study Type
MTBLS334	UPLC-LTQ-MS
MTBLS335	UPLC-QTOF-MS/MS
MTBLS336	NMR;UPLC-LTQ-MS
MTBLS337	NMR
MTBLS338	UPLC-QTOF-MS;GC-Q-MS
MTBLS340	NMR
MTBLS341	UPLC-QTOF-MS;GC-Q-MS
MTBLS342	NMR
MTBLS343	UPLC-QTOF-MS
MTBLS345	GC-Q-MS
MTBLS346	NMR
MTBLS349	NMR
MTBLS350	GC-TOF-MS
MTBLS352	UPLC-QTOF-MS
MTBLS354	UPLC-QTOF-MS
MTBLS355	DI-FT-ICR-MS;GC-TOF-MS
MTBLS356	NMR
MTBLS358	UPLC-LTQ-MS;DI-LTQ-MS
MTBLS359	LC-LTQ-MS
MTBLS360	UPLC-LTQ-MS/MS
MTBLS361	NMR
MTBLS362	LC-LTQ-MS/MS
MTBLS363	GC-Q-MS
MTBLS364	UPLC-QTOF-MS
MTBLS366	DI-FT-ICR-MS
MTBLS367	NMR
MTBLS368	HPLC-QTOF-MS;UPLC-TQ-MS/MS
MTBLS370	GC-LTQ-MS
MTBLS372	HPLC-QTOF-MS/MS
MTBLS373	FIA-QTOF-MS
MTBLS374	NMR
MTBLS375	UPLC-LTQ-MS
MTBLS376	CE-TOF-MS
MTBLS378	LC-LTQ-MS/MS
MTBLS379	UPLC-QTOF-MS/MS
MTBLS380	UPLC-QTOF-MS
MTBLS381	UPLC-QTOF-MS
MTBLS382	NMR
MTBLS383	REI-QTOF-MS
MTBLS384	HPLC-LTQ-MS
MTBLS385	3D DESI imaging MS
MTBLS386	NMR
MTBLS387	NMR
MTBLS389	UPLC-TOF-MS
MTBLS390	GC-FID
MTBLS391	HPLC-LTQ-MS;UPLC-LTQ-MS;UPLC-QTOF-MS/MS
MTBLS392	GCxGC-TOF-MS
MTBLS393	GC-TOF-MS
MTBLS394	HPLC-QTOF-MS;UPLC-QTOF-MS/MS;HPLC-LTQ-MS;UPLC-LTQ-MS
MTBLS395	NMR
MTBLS396	HPLC-QTOF-MS;UPLC-QTOF-MS/MS;HPLC-LTQ-MS;UPLC-LTQ-MS
MTBLS397	UPLC-LTQ-MS
MTBLS398	HPLC-LTQ-MS;UPLC-LTQ-MS;UPLC-QTOF-MS/MS
MTBLS399	NMR
MTBLS400	MAS-NMR
MTBLS401	HPLC-LTQ-MS
MTBLS402	UPLC-LTQ-MS
MTBLS403	UPLC-QTOF-MS
MTBLS404	UPLC-LTQ-MS
MTBLS405	HPLC-TQ-MS/MS
MTBLS408	UPLC-QTOF-MS
MTBLS409	UPLC-QTOF-MS/MS
MTBLS410	UPLC-QTOF-MS
MTBLS411	GC-TOF-MS
MTBLS412	GC-Q-MS
MTBLS413	UPLC-LTQ-MS
MTBLS414	UPLC-QTOF-MS
MTBLS415	3D DESI imaging MS
MTBLS417	UPLC-QTOF-MS/MS
MTBLS418	UPLC-QTOF-MS
MTBLS419	NMR
MTBLS420	GC-QIT-MS
MTBLS422	NMR
MTBLS423	UPLC-QTOF-MS
MTBLS424	NMR
MTBLS425	NMR
MTBLS426	UPLC-LTQ-MS/MS
MTBLS427	SPE-IMS-MS
MTBLS428	LC-LTQ-MS/MS
MTBLS429	UPLC-TQ-MS/MS
MTBLS430	NMR
MTBLS431	NMR
MTBLS432	UPLC-IT-TOF-MS/MS
MTBLS433	UPLC-QTOF-MS/MS
MTBLS434	UPLC-TQ-MS/MS
MTBLS435	UPLC-QTOF-MS
MTBLS436	HPLC-LTQ-MS
MTBLS437	GC-QTOF-MS
MTBLS441	UPLC-QTOF-MS
MTBLS444	NMR
MTBLS445	UPLC-LTQ-MS
MTBLS447	GC-TOF-MS
MTBLS449	UPLC-QTOF-MS
MTBLS450	UPLC-TQ-MS
MTBLS451	LC-LTQ-MS/MS
MTBLS452	UPLC-LTQ-MS/MS
MTBLS453	NMR
MTBLS454	HPLC-QTOF-MS/MS
MTBLS455	NMR
MTBLS456	UPLC-QTOF-MS
MTBLS457	GC-Q-MS
MTBLS459	UPLC-LTQ-MS/MS
MTBLS460	UPLC-QTOF-MS/MS
MTBLS461	LC-FT-ICR-MS;LC-LTQ-FT-MS/MS;LC-TQ-MS
MTBLS462	UPLC-LTQ-MS/MS
MTBLS463	NMR
MTBLS464	UPLC-LTQ-MS/MS
MTBLS465	UPLC-QTOF-MS
MTBLS470	UPLC-QTOF-MS
MTBLS471	UPLC-LTQ-MS/MS
MTBLS472	UPLC-QTOF-MS
MTBLS473	HPLC-LTQ-MS
MTBLS478	UPLC-QTOF-MS/MS
MTBLS479	UPLC-LTQ-MS/MS
MTBLS481	GC-TOF-MS
MTBLS482	In vivo MRS
MTBLS483	UPLC-QTOF-MS
MTBLS484	UPLC-QTOF-MS
MTBLS487	3D MALDI imaging MS
MTBLS488	UPLC-LTQ-MS
MTBLS492	UPLC-QTOF-MS/MS;UPLC-LTQ-MS/MS
MTBLS493	UPLC-QTOF-MS
MTBLS494	UPLC-QTOF-MS
MTBLS495	UPLC-QTOF-MS/MS
MTBLS496	UPLC-QTOF-MS
MTBLS497	TD-GC-TOF-MS
MTBLS516	NMR
MTBLS517	HPLC-LTQ-MS
MTBLS518	HPLC-LTQ-MS
MTBLS519	GC-Q-MS
MTBLS520	UPLC-QTOF-MS
MTBLS522	GC-TQ-MS
MTBLS523	HPLC-LTQ-MS
MTBLS524	NMR
MTBLS525	UPLC-QTOF-MS/MS
MTBLS526	GC-Q-MS
MTBLS527	GC-TOF-MS;UPLC-QTOF-MS
MTBLS528	HPLC-LTQ-MS
MTBLS529	HPLC-LTQ-MS
MTBLS530	LC-TOF-MS
MTBLS531	HPLC-QTOF-MS/MS
MTBLS532	GC-Q-MS
MTBLS535	GC-Q-MS;HPLC-QTOF-MS
MTBLS536	HPLC-LTQ-MS
MTBLS538	GC-Q-MS
MTBLS539	UPLC-QTOF-MS/MS;NMR;MAS-NMR
MTBLS540	NMR
MTBLS541	NMR
MTBLS542	HPLC-LTQ-MS
MTBLS543	NMR
MTBLS545	GC-TOF-MS
MTBLS546	GC-TOF-MS
MTBLS547	UPLC-TQ-MS
MTBLS548	UPLC-QTOF-MS
MTBLS549	HPLC-LTQ-MS/MS
MTBLS552	GC-Q-MS;HPLC-LTQ-MS/MS
MTBLS553	UPLC-QTOF-MS/MS
MTBLS554	UPLC-LTQ-MS
MTBLS555	HPLC-QTOF-MS
MTBLS558	HPLC-LTQ-MS/MS
