studyID	organismPart
MTBLS558	cerebrospinal fluid
MTBLS559	cell suspension culture
MTBLS560	blood serum
MTBLS561	urine
MTBLS562	brain
MTBLS563	blood serum
MTBLS564	synovia
MTBLS565	
MTBLS566	root
MTBLS567	exometabolome
MTBLS568	
MTBLS569	
MTBLS570	standard
MTBLS570	solvent
MTBLS570	bone marrow-derived macrophage
MTBLS571	whole organism
MTBLS572	whole organism
MTBLS573	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS574	leaf
MTBLS575	stem internode
MTBLS576	endometabolome
MTBLS577	whole organism
MTBLS578	whole organism
MTBLS579	blood plasma
MTBLS580	urine
MTBLS581	leaf and stem
MTBLS582	Hep-G2 cell
MTBLS583	root
MTBLS585	Brain
MTBLS586	liver
MTBLS587	liver
MTBLS588	brain
MTBLS589	liver
MTBLS591	Bronchoalveolar Lavage Fluid
MTBLS592	
MTBLS593	blood serum
MTBLS594	BY4741
MTBLS594	HCC-1954 cell
MTBLS594	adipose tissue
MTBLS594	A549
MTBLS595	early whole plant fruit ripening stage
MTBLS596	urine
MTBLS597	intestine
MTBLS597	pure substance
MTBLS597	brain
MTBLS598	serum
MTBLS599	head
MTBLS600	head
MTBLS601	liver
MTBLS602	urine
MTBLS606	liver
MTBLS607	head
MTBLS608	Endometabolome
MTBLS608	Endometabolome
MTBLS609	
MTBLS610	
MTBLS611	Exometabolome 
MTBLS612	head
MTBLS613	D
MTBLS614	blank
MTBLS614	liver
MTBLS615	head
MTBLS616	blood plasma
MTBLS617	headspace
MTBLS617	headspace
MTBLS617	headspace
MTBLS617	headspace
MTBLS618	leaf
MTBLS619	skeletal muscle
MTBLS620	blood plasma
MTBLS621	
MTBLS622	whole organism
MTBLS622	shoot system
MTBLS623	milk
MTBLS624	Spent Medium
MTBLS624	Intracellular extract
MTBLS624	N/A
MTBLS625	monocyte
MTBLS626	Cancer-Associated Fibroblasts
MTBLS626	NIH-3T3 cell
MTBLS627	plasma
MTBLS628	xylem
MTBLS629	peritoneal macrophage
MTBLS630	whole organism
